(주)스마트클린테크,안산시,(주)스마트클린테크,설립일                            2015년 01월 14일                                (업력 7년)대표자명이윤지/이수원업종반도체 제조용 기계 제조업평균연봉5500만원▲                                                        전체기업주소경기 안산시 단원구 지원로 107-36,5명,중소기업
에스오테크,안산시,(주)에스오테크,설립일                            2006년 03월 24일                                (업력 16년)대표자명양규선업종그 외 기타 특수목적용 기계 제조업재무정보매출액 20억원▲영업이익 1억원▲(2011년 기준)전체기업주소경기 부천시 도약로308번길 25,"24억 7,374만원",3명
에스제이에스,안산시,(주)에스제이에스,"설립일                            2013년 06월 19일                                (업력 9년)대표자명이상진업종반도체 제조용 기계 제조업재무정보매출액 5000만원▲영업이익 260.5만원▲(2017년 기준)전체평균연봉2500만원▲                                                            (2017년 기준)전체기업주소경기 의왕시 경수대로 257, 404호","6,540만원",2명
제이알,안산시,(주)제이알,설립일                            2013년 05월 27일                                (업력 9년)대표자명정동오/정길중업종생활용 가구 도매업재무정보매출액 50억원▲영업이익 1억원▲(2021년 기준)전체평균연봉2500만원▲                                                            (2021년 기준)전체기업주소대구 수성구 무학로 33,"55억 4,439만원",10명
케이에이치,안산시,케이에이치(주),"설립일                            2015년 10월 29일                                (업력 7년)대표자명정정원업종비주거용 건물 개발 및 공급업재무정보매출액 160억원▲영업이익 8억원▲(2021년 기준)전체평균연봉5000만원▲                                                            (2021년 기준)전체기업주소경기 성남시 분당구 운중로 141, 703호","161억 8,596만원",28명
(주)금우바이오틱스,부평구,(주)금우바이오틱스에 대한 검색결과 없음,(주)금우바이오틱스에 대한 검색결과 없음,(주)금우바이오틱스에 대한 검색결과 없음,(주)금우바이오틱스에 대한 검색결과 없음
(주)동우이엔지,부평구,(주)동우이엔지,대표자명차재열업종건물용 기계ㆍ장비 설치 공사업재무정보매출액 35억원▲영업이익 86만원▲(2021년 기준)전체평균연봉4500만원▲                                                            (2021년 기준)전체기업주소대구 수성구 세진로 65-1,"38억 6,355만원",9명
(주)라이징크래프트,부평구,(주)라이징크래프트,"설립일                            2021년 02월 09일                                (업력 1년)대표자명이준서업종일반 서적 출판업기업주소인천 부평구 부평대로 293, 9층 906호",중소기업,업력 2년차
(주)모모비비,부평구,(주)모모비비,"설립일                            2019년 07월 22일                                (업력 3년)대표자명신동식업종응용 소프트웨어 개발 및 공급업재무정보매출액 500만원▲(2019년 기준)전체기업주소서울 중구 을지로45길 62, 8층 8428호",500만원,중소기업
(주)에이피아이엔디,부평구,(주)에이피아이엔디,"설립일                            2014년 12월 26일                                (업력 8년)대표자명이학열업종가전제품 및 부품 도매업재무정보매출액 7억원▲(2021년 기준)전체평균연봉3000만원▲                                                            (2021년 기준)전체기업주소인천 부평구 부평대로 293, 902호","7억 6,539만원",2명
